Answer,Question
"بریدہ رضی الله عنہ کہتے ہیں کہ نبی اکرم صلی الله علیہ وسلم کے پاس ایک شخص آیا، اس نے آپ سے اوقات نماز کے بارے میں پوچھا تو آپ نے فرمایا: تم ہمارے ساتھ قیام کرو (تمہیں نماز کے اوقات معلوم ہو جائیں گے) ان شاءاللہ، پھر آپ نے بلال کو حکم دیا تو انہوں نے اقامت کہی جب فجر (صادق) طلوع ہو گئی پھر آپ نے حکم دیا تو انہوں نے سورج ڈھلنے کے بعد اقامت کہی تو آپ نے ظہر پڑھی، پھر آپ نے انہیں حکم دیا تو انہوں نے اقامت کہی آپ نے عصر پڑھی اس وقت سورج روشن اور بلند تھا، پھر جب سورج ڈوب گیا تو آپ نے انہیں مغرب کا حکم دیا، پھر جب شفق غائب ہو گئی تو آپ نے انہیں عشاء کا حکم دیا تو انہوں نے اقامت کہی، پھر دوسرے دن انہیں حکم دیا تو انہوں نے فجر کو خوب اجالا کر کے پڑھا، پھر آپ نے انہیں ظہر کا حکم دیا تو انہوں نے ٹھنڈا کیا، اور خوب ٹھنڈا کیا، پھر آپ نے انہیں عصر کا حکم دیا اور انہوں نے اقامت کہی تو اس وقت سورج اس کے آخر وقت میں اس سے زیادہ تھا جتنا پہلے دن تھا (یعنی دوسرے دن عصر میں تاخیر ہوئی)، پھر آپ نے انہیں مغرب میں دیر کرنے کا حکم دیا تو انہوں نے مغرب کو شفق کے ڈوبنے سے کچھ پہلے تک مؤخر کیا، پھر آپ نے انہیں عشاء کا حکم دیا تو انہوں نے جب تہائی رات ختم ہو گئی تو اقامت کہی، پھر آپ نے فرمایا: ""نماز کے اوقات کے بارے میں پوچھنے والا کہاں ہے؟"" تو اس آدمی نے عرض کیا: میں ہوں، آپ نے فرمایا: ""نماز کے اوقات انہیں دونوں کے بیچ میں ہیں""۔",نماز کے اوقات کیا ہیں
ام المؤمنین عائشہ رضی الله عنہا کہتی ہیں کہ رسول اللہ صلی الله علیہ وسلم جب فجر پڑھا لیتے تو پھر عورتیں چادروں میں لپٹی ہوئی لوٹتیں وہ اندھیرے کی وجہ سے پہچانی نہیں جاتی تھیں۔,رسول اللہ صلی الله علیہ وسلم فجر کب تک پڑھا لیتے تھے
"رافع بن خدیج رضی الله عنہ کہتے ہیں کہ میں نے رسول اللہ صلی الله علیہ وسلم کو فرماتے سنا: ""فجر خوب اجالا کر کے پڑھو، کیونکہ اس میں زیادہ ثواب ہے""۔",رسول اللہ صلی الله علیہ وسلم نے فجر کو کب پڑھنے کا حکم دیا
ام المؤمنین عائشہ رضی الله عنہا کہتی ہیں کہ ظہر کو رسول اللہ صلی الله علیہ وسلم سے بڑھ کر جلدی کرنے والا میں نے کسی کو نہیں دیکھا، اور نہ ابوبکر اور عمر رضی الله عنہما سے بڑھ کر جلدی کرنے والا کسی کو دیکھا۔, کیا نماز میں جلدی کرنی چاہیے
انس بن مالک رضی الله عنہ سے روایت ہے کہ رسول اللہ صلی الله علیہ وسلم نے نماز ظہر اس وقت پڑھی جس وقت سورج ڈھل گیا,نماز ظہر کس وقت پڑھنی چاہیے
"ابوہریرہ رضی الله عنہ کہتے ہیں کہ رسول اللہ صلی الله علیہ وسلم نے فرمایا: ""جب گرمی سخت ہو تو نماز ٹھنڈا ہونے پر پڑھو کیونکہ گرمی کی تیزی جہنم کی بھاپ سے ہے""۔",جب گرمی سخت ہو تو نماز کے بارے میں کیا حکم ہے
"ابوذر رضی الله عنہ سے روایت ہے کہ رسول اللہ صلی الله علیہ وسلم ایک سفر میں تھے، ساتھ میں بلال رضی الله عنہ بھی تھے۔ بلال رضی الله عنہ نے اقامت کہنے کا ارادہ کیا تو آپ نے فرمایا: ""ٹھنڈا ہو جانے دو""۔ انہوں نے پھر اقامت کہنے کا ارادہ کیا تو رسول اللہ صلی الله علیہ وسلم نے پھر فرمایا: ""ظہر کو ٹھنڈا کر کے پڑھ""۔ وہ کہتے ہیں (ظہر تاخیر سے پڑھی گئی) یہاں تک کہ ہم نے ٹیلوں کا سایہ دیکھ لیا تب انہوں نے اقامت کہی پھر آپ نے نماز پڑھی، پھر فرمایا: ""گرمی کی تیزی جہنم کی بھاپ سے ہے۔ لہٰذا نماز ٹھنڈے میں پڑھا کرو""۔",جب گرمی سخت ہو تو نماز کے بارے میں کیا حکم ہے
ام المؤمنین عائشہ رضی الله عنہا کہتی ہیں کہ رسول اللہ صلی الله علیہ وسلم نے عصر پڑھی اس حال میں کہ دھوپ ان کے کمرے میں تھی، ان کے کمرے کے اندر کا سایہ پورب والی دیوار پر نہیں چڑھا تھا۔,نماز عصر کس وقت پڑھنی چاہیے
"علاء بن عبدالرحمٰن سے روایت ہے کہ وہ بصرہ میں جس وقت ظہر پڑھ کر لوٹے تو وہ انس بن مالک رضی الله عنہ کے پاس ان کے گھر آئے، ان کا گھر مسجد کے بغل ہی میں تھا۔ انس بن مالک نے کہا: اٹھو چلو عصر پڑھو، تو ہم نے اٹھ کر نماز پڑھی، جب پڑھ چکے تو انہوں نے کہا کہ میں نے رسول اللہ صلی الله علیہ وسلم کو فرماتے سنا ہے:""یہ منافق کی نماز ہے کہ بیٹھا سورج کو دیکھتا رہے، یہاں تک کہ جب وہ شیطان کی دونوں سینگوں کے درمیان آ جائے تو اٹھے اور چار ٹھونگیں مار لے، اور ان میں اللہ کو تھوڑا ہی یاد کرے""۔",نماز آخری وقت میں پڑھنا کیسا ہے
ام سلمہ رضی الله عنہا کہتی ہیں کہ رسول اللہ صلی الله علیہ وسلم ظہر میں تم لوگوں سے زیادہ جلدی کرتے تھے اور تم لوگ عصر میں رسول اللہ صلی الله علیہ وسلم سے زیادہ جلدی کرتے ہو ۔,ظہر کی نماز میں جلدی کرنا کیسا ہے. عصر کی نماز میں دیر کرنا کیسا ہے. 
سلمہ بن الاکوع رضی الله عنہ سے روایت ہے کہ رسول اللہ صلی الله علیہ وسلم مغرب اس وقت پڑھتے جب سورج ڈوب جاتا اور پردے میں چھپ جاتا ۱؎۔,رسول اللہ صلی الله علیہ وسلم مغرب کس وقت پڑھتے تھے
نعمان بن بشیر رضی الله عنہما کہتے ہیں کہ اس نماز عشاء کے وقت کو لوگوں میں سب سے زیادہ میں جانتا ہوں، رسول اللہ صلی الله علیہ وسلم اسے تیسری تاریخ کا چاند ڈوبنے کے وقت پڑھتے تھے ۱؎۔,رسول اللہ صلی الله علیہ وسلم عشاء کس وقت پڑھتے تھے
"ابوہریرہ رضی الله عنہ کہتے ہیں کہ نبی اکرم صلی الله علیہ وسلم نے فرمایا: ""اگر میں اپنی امت پر دشوار نہ سمجھتا تو میں عشاء کو تہائی رات یا آدھی رات تک دیر کر کے پڑھنے کا حکم دیتا"" ۱؎۔",رسول اللہ صلی الله علیہ وسلم نے عشاء کس وقت پڑھنے کا حکم دیا
ابوبرزہ رضی الله عنہ کہتے ہیں کہ نبی اکرم صلی الله علیہ وسلم عشاء سے پہلے سونے اور اس کے بعد بات چیت کرنے کو ناپسند فرماتے تھے ۱؎۔,کیا نبی اکرم صلی الله علیہ وسلم عشاء سے پہلے سونے کو پسند فرماتے تھے. کیا نبی اکرم صلی الله علیہ وسلم عشاء کے بعد بات چیت کرنے کو پسند فرماتے تھے. 
"قاسم بن غنام کی پھوپھی ام فروہ رضی الله عنہا (جنہوں نے نبی اکرم صلی الله علیہ وسلم سے بیعت کی تھی) کہتی ہیں کہ نبی اکرم صلی الله علیہ وسلم سے پوچھا گیا: کون سا عمل سب سے افضل ہے؟ تو آپ نے فرمایا: ""اول وقت میں نماز پڑھنا""۔",اول وقت میں نماز پڑھنا کیسا ہے
"علی بن ابی طالب رضی الله عنہ سے روایت ہے کہ نبی اکرم صلی الله علیہ وسلم نے ان سے فرمایا: ""علی! تین چیزوں میں دیر نہ کرو: نماز کو جب اس کا وقت ہو جائے، جنازہ کو جب آ جائے، اور بیوہ عورت (کے نکاح کو) جب تمہیں اس کا کوئی کفو (ہمسر) مل جائے""۔",نبی اکرم صلی الله علیہ وسلم نے کن چیزوں میں دیر کرنے سے منع کیا
"عبداللہ بن عمر رضی الله عنہما کہتے ہیں کہ رسول اللہ صلی الله علیہ وسلم نے فرمایا: ""نماز اول وقت میں اللہ کی رضا مندی کا موجب ہے اور آخری وقت میں اللہ کی معافی کا موجب ہے""۔",اللہ کی رضا مندی کا موجب کیا ہے. اول یا آخری وقت میں نماز پڑھنا کیسا ہے
"ابوعمرو شیبانی سے روایت ہے کہ ایک شخص نے ابن مسعود رضی الله عنہ سے پوچھا: کون سا عمل سب سے اچھا ہے؟ انہوں نے بتلایا کہ میں نے اس کے بارے میں رسول اللہ صلی الله علیہ وسلم سے پوچھا تو آپ نے فرمایا: ""نماز کو اس کے وقت پر پڑھنا""۔ میں نے عرض کیا: اور کیا ہے؟ اللہ کے رسول! آپ نے فرمایا: ""والدین کے ساتھ حسن سلوک کرنا""، میں نے عرض کیا: (اس کے بعد) اور کیا ہے؟ اللہ کے رسول! آپ نے فرمایا: ""اللہ کی راہ میں جہاد کرنا""۔",اول وقت میں نماز پڑھنا کیسا ہے
ام المؤمنین عائشہ رضی الله عنہا کہتی ہیں کہ رسول اللہ صلی الله علیہ وسلم نے کوئی نماز اس کے آخری وقت میں دو بار نہیں پڑھی یہاں تک کہ اللہ نے آپ کو وفات دے دی۔,آخری وقت میں نماز پڑھنا کیسا ہے
"عبداللہ بن عمر رضی الله عنہما سے روایت ہے کہ نبی اکرم صلی الله علیہ وسلم نے فرمایا: ""جس سے عصر فوت ہو گئی گویا اس کا گھر اور مال لٹ گیا""۔",عصر کو قضا کرنا کیسا ہے
"ابوذر رضی الله عنہ کہتے ہیں کہ نبی اکرم صلی الله علیہ وسلم نے فرمایا: ""ابوذر! میرے بعد کچھ ایسے امراء (حکام) ہوں گے جو نماز کو مار ڈالیں گے ۱؎، تو تم نماز کو اس کے وقت پر پڑھ لینا ۲؎ نماز اپنے وقت پر پڑھ لی گئی تو امامت والی نماز تمہارے لیے نفل ہو گی، ورنہ تم نے اپنی نماز محفوظ کر ہی لی ہے""۔",اول وقت میں نماز پڑھنا کیسا ہے
"ابوقتادہ رضی الله عنہ سے روایت ہے کہ لوگوں نے نبی اکرم صلی الله علیہ وسلم سے نماز سے اپنے سو جانے کا ذکر کیا تو آپ نے فرمایا: ""سو جانے میں قصور اور کمی نہیں۔ قصور اور کمی تو جاگنے میں ہے، (کہ جاگتا رہے اور نہ پڑھے) لہٰذا تم میں سے کوئی جب نماز بھول جائے، یا نماز سے سو جائے، تو جب اسے یاد آئے پڑھ لے""۔",اگر سو جانے کی وجہ سے نماز قضا ہو جائے تو کیا کرنا چاہیے
"انس بن مالک رضی الله عنہ کہتے ہیں کہ رسول اللہ صلی الله علیہ وسلم نے فرمایا: ""جو شخص نماز بھول جائے تو چاہیئے کہ جب یاد آئے پڑھ لے""۔",اگر کوئی شخص نماز بھول جائے تو کیا کرنا چاہیے
ابوعبیدہ بن عبداللہ بن مسعود سے روایت ہے کہ عبداللہ بن مسعود رضی الله عنہ نے کہا: مشرکین نے رسول اللہ صلی الله علیہ وسلم کو خندق کے دن چار نمازوں سے روک دیا۔ یہاں تک کہ رات جتنی اللہ نے چاہی گزر گئی، پھر آپ نے بلال کو حکم دیا تو انہوں نے اذان کہی، پھر اقامت کہی تو آپ صلی الله علیہ وسلم نے ظہر پڑھی، پھر بلال رضی الله عنہ نے اقامت کہی تو آپ نے عصر پڑھی، پھر بلال رضی الله عنہ نے اقامت کہی تو آپ نے مغرب پڑھی، پھر انہوں نے اقامت کہی تو آپ صلی الله علیہ وسلم نے عشاء پڑھی۔, مشرکین نے رسول اللہ صلی الله علیہ وسلم کو خندق کے دن چار نمازوں سے روک دیا تو اپ نے کیا کیا
"جابر بن عبداللہ رضی الله عنہما سے روایت ہے کہ عمر بن خطاب رضی الله عنہ نے خندق کے روز کفار قریش کو برا بھلا کہتے ہوئے کہا کہ اللہ کے رسول! میں عصر نہیں پڑھ سکا یہاں تک کہ سورج ڈوبنے کے قریب ہو گیا، تو رسول اللہ صلی الله علیہ وسلم نے فرمایا: ""اللہ کی قسم! میں نے اسے (اب بھی) نہیں پڑھی ہے""، وہ کہتے ہیں: پھر ہم وادی بطحان میں اترے تو رسول اللہ صلی الله علیہ وسلم نے وضو کیا اور ہم نے بھی وضو کیا، پھر رسول اللہ صلی الله علیہ وسلم نے سورج ڈوب جانے کے بعد پہلے عصر پڑھی پھر اس کے بعد مغرب پڑھی۔",عمر بن خطاب رضی الله عنہ نے خندق کے روز کفار قریش کو برا بھلا کہا تو اللہ کے رسول کیا نے فرمایا.
"عبداللہ بن مسعود رضی الله عنہ کہتے ہیں کہ رسول اللہ صلی الله علیہ وسلم نے فرمایا: "" «صلاة وسطیٰ» عصر کی صلاۃ ہے"" ۱؎۔",صلاة وسطیٰ کیا ہے
"سمرہ بن جندب رضی الله عنہ سے روایت ہے کہ نبی اکرم صلی الله علیہ وسلم نے فرمایا: "" «صلاة وسطیٰ» عصر کی صلاۃ ہے"" ۱؎۔",صلاة وسطیٰ کیا ہے
عبداللہ بن عباس رضی الله عنہما کہتے ہیں کہ میں نے صحابہ کرام رضی الله عنہم میں سے کئی لوگوں سے (جن میں عمر بن خطاب بھی ہیں اور وہ مجھے سب سے زیادہ محبوب ہیں) سنا کہ رسول اللہ صلی الله علیہ وسلم نے فجر کے بعد جب تک کہ سورج نکل نہ آئے ۱؎ اور عصر کے بعد جب تک کہ ڈوب نہ جائے نماز پڑھنے سے منع فرمایا ہے۔,رسول اللہ صلی الله علیہ وسلم نے کب نماز پڑھنے سے منع فرمایا ہے۔
عبداللہ بن عباس رضی الله عنہما کہتے ہیں کہ نبی اکرم صلی الله علیہ وسلم نے عصر کے بعد دو رکعتیں پڑھیں، اس لیے کہ آپ کے پاس کچھ مال آیا تھا، جس کی وجہ سے آپ کو ظہر کے بعد کی دونوں رکعتیں پڑھنے کا موقع نہیں مل سکا تھا تو آپ نے انہیں عصر کے بعد پڑھا پھر آپ نے انہیں دوبارہ نہیں پڑھا۔,ظہر کے بعد کی دونوں رکعتیں عصر کے بعد پڑھنا کیسا ہے
"عبداللہ بن مغفل رضی الله عنہ سے روایت ہے کہ نبی اکرم صلی الله علیہ وسلم نے فرمایا: ""جو نفلی نماز پڑھنا چاہے اس کے لیے ہر دو اذان کے درمیان نماز ہے""۔",نفلی نماز کب پڑھنی چاہیے 
"ابوہریرہ رضی الله عنہ سے روایت ہے کہ نبی اکرم صلی الله علیہ وسلم نے فرمایا: ""جس نے سورج نکلنے سے پہلے فجر کی ایک رکعت پالی تو اس نے فجر پالی، اور جس نے سورج ڈوبنے سے پہلے عصر کی ایک رکعت پالی تو اس نے عصر پالی"" ۱؎۔",نماز فجر اور عصر کب قبول ہوتی ہے
عبداللہ بن عباس رضی الله عنہما کہتے ہیں کہ رسول اللہ صلی اللہ علیہ وسلم نے بغیر خوف اور بارش کے مدینے میں ظہر اور عصر کو ایک ساتھ اور مغرب اور عشاء کو ایک ساتھ جمع کیا۔ ابن عباس رضی الله عنہما سے پوچھا گیا کہ نبی اکرم صلی اللہ علیہ وسلم کا اس سے کیا منشأ تھی؟ کہا: آپ صلی اللہ علیہ وسلم کا منشأ یہ تھی کہ آپ اپنی امت کو کسی پریشانی میں نہ ڈالیں۔, ظہر اور عصر کو ایک ساتھ  جمع  کرنا کیسا ہے. مغرب اور عشاء کو ایک ساتھ جمع  کرنا کیسا ہے
"عبداللہ بن عباس رضی الله عنہما سے روایت ہے کہ نبی اکرم صلی اللہ علیہ وسلم نے فرمایا: ""جس نے بغیر عذر کے دو نمازیں ایک ساتھ پڑھیں وہ کبیرہ گناہوں کے دروازوں سے میں ایک دروازے میں داخل ہوا""۔",بغیر عذر کے دو نمازیں ایک ساتھ پڑھنا کیسا ہے
"عبداللہ بن عمر رضی الله عنہما کہتے ہیں کہ جس وقت مسلمان مدینہ آئے تو وہ اکٹھے ہو کر اوقات نماز کا اندازہ لگاتے تھے، کوئی نماز کے لیے پکار نہ لگاتا تھا، ایک دن ان لوگوں نے اس سلسلے میں گفتگو کی چنانچہ ان میں سے بعض لوگوں نے کہا: نصاریٰ کے ناقوس کی طرح کوئی ناقوس بنا لو، بعض نے کہا کہ تم یہودیوں کے قرن کی طرح کوئی قرن (یعنی کسی جانور کا سینگ) بنا لو۔ ابن عمر رضی الله عنہما کہتے ہیں: اس پر عمر بن خطاب رضی الله عنہ نے کہا: کیا تم کوئی آدمی نہیں بھیج سکتے جو نماز کے لیے پکارے۔ تو رسول اللہ صلی اللہ علیہ وسلم نے فرمایا: ""بلال اٹھو جاؤ نماز کے لیے پکارو""۔",اذان کا حکم کب ہوا
عبداللہ بن زید رضی الله عنہ کہتے ہیں کہ رسول اللہ صلی اللہ علیہ وسلم کے زمانے میں اذان اور اقامت دونوں دہری ہوتی تھیں۔,رسول اللہ صلی اللہ علیہ وسلم کے زمانے میں اذان اور اقامت کتنی دفع ہوتی تھیں۔
